,features,loop_1,loop_2,loop_3,loop_4,loop_5,loop_6,loop_7,loop_8,loop_9,loop_10,loop_11,loop_12,loop_13,loop_14,loop_15,loop_16,loop_17,loop_18,loop_19,loop_20,sum
533,b258,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,5
161,a161,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,5
483,b208,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,5
433,b158,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,5
49,a49,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,5
513,b238,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,5
245,a245,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,5
443,b168,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,5
500,b225,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,5
227,a227,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4
428,b153,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,4
366,b91,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,4
252,a252,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,4
482,b207,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,4
32,a32,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,4
438,b163,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,4
178,a178,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4
430,b155,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4
514,b239,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,4
111,a111,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3
314,b39,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3
301,b26,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3
436,b161,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3
512,b237,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3
105,a105,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3
344,b69,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3
45,a45,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3
445,b170,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3
363,b88,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
525,b250,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3
164,a164,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3
504,b229,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3
250,a250,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3
356,b81,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
169,a169,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
427,b152,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3
484,b209,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3
118,a118,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
43,a43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
439,b164,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
518,b243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
197,a197,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
232,a232,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
228,a228,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2
310,b35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
398,b123,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
239,a239,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2
208,a208,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
446,b171,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2
454,b179,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
309,b34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
54,a54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
292,b17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
242,a242,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
479,b204,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
488,b213,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2
511,b236,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
434,b159,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
155,a155,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
308,b33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
391,b116,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
447,b172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
160,a160,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
424,b149,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
157,a157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
229,a229,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
237,a237,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
369,b94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
233,a233,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
441,b166,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
372,b97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
234,a234,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
184,a184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
236,a236,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
