1680312600000,28437.59,28449.99,28437.58,28448.91,21.54429
1680312660000,28448.91,28452.88,28448.91,28452.88,16.26095
1680312720000,28452.87,28452.97,28446.81,28452.94,15.85746
1680312780000,28452.94,28459.56,28452.52,28459.55,32.60692
1680312840000,28459.56,28485.98,28459.55,28485.97,30.19441
1680312900000,28485.97,28486.99,28473.07,28473.07,43.76683
1680312960000,28473.08,28473.08,28455.07,28455.07,11.70904
1680313020000,28455.07,28455.08,28450.01,28451.41,17.32209
1680313080000,28451.4,28459.92,28450.26,28459.92,9.06437
1680313140000,28459.91,28461.16,28455.84,28456.81,20.34837
1680313200000,28456.8,28458.07,28453.12,28454.63,7.88231
1680313260000,28454.63,28464.53,28453.37,28464.53,9.83509
1680313320000,28464.52,28468.73,28464.52,28468.72,9.22922
1680313380000,28468.73,28468.74,28467.1,28467.1,9.12085
1680313440000,28467.11,28473.83,28467.1,28472.33,7.96834
1680313500000,28472.32,28476.29,28471.73,28471.73,10.63898
1680313560000,28471.73,28471.74,28465.97,28465.97,11.83371
1680313620000,28465.98,28498.66,28465.97,28498.58,49.13409
1680313680000,28498.59,28538.18,28498.58,28527.55,115.13059
1680313740000,28527.56,28550.0,28527.55,28531.94,36.12983
1680313800000,28531.94,28541.94,28530.0,28541.93,19.6876
1680313860000,28541.94,28549.65,28529.44,28549.07,55.93764
1680313920000,28549.07,28590.66,28549.06,28566.4,97.46294
1680313980000,28566.4,28577.0,28560.75,28560.97,34.4151
1680314040000,28560.96,28560.97,28559.76,28559.77,7.08897
1680314100000,28559.76,28559.77,28542.06,28557.74,52.41007
1680314160000,28557.74,28570.15,28556.26,28570.14,51.51646
1680314220000,28570.14,28619.0,28570.14,28619.0,111.04824
1680314280000,28618.99,28625.61,28583.33,28594.49,70.53527
1680314340000,28594.48,28611.74,28589.46,28610.63,24.29216
1680314400000,28610.62,28615.99,28596.39,28614.29,41.3784
1680314460000,28614.3,28819.71,28614.29,28779.48,776.16697
1680314520000,28779.47,28807.86,28752.24,28807.86,162.73125
1680314580000,28807.85,28817.58,28766.55,28777.92,130.26285
1680314640000,28777.92,28799.03,28770.0,28782.39,50.56367
1680314700000,28782.4,28782.4,28740.0,28740.0,91.94454
1680314760000,28740.01,28740.01,28709.13,28724.47,91.44348
1680314820000,28724.47,28741.65,28715.8,28741.64,40.2094
1680314880000,28741.65,28761.81,28733.19,28733.2,58.73859
1680314940000,28733.19,28733.2,28687.61,28699.96,62.9071
1680315000000,28699.96,28717.18,28683.8,28717.17,32.45178
1680315060000,28717.17,28717.18,28703.59,28703.6,34.27882
1680315120000,28703.59,28703.59,28683.51,28683.52,33.18401
1680315180000,28683.51,28696.79,28657.01,28678.78,114.34643
1680315240000,28678.79,28678.79,28660.4,28672.39,63.60173
1680315300000,28672.39,28693.06,28672.39,28693.05,21.67066
